ID,Nuser ID,Source Text,Target Text,Source Context,Target Context,Source Lang,Target Lang,Last Edit,Creation Date,Removed,Target Text Edited,Document Title,Document,Source Segment,Source,Comment,Domain,History ID,Wordcount,Favtype,Source Pos,Target Pos,Register,Language Level
96082290,"11,744,472",shove,push something roughly or with force,He shoved the door open with his shoulder.,,en,en,"June 4, 2026, 9:36 PM","October 23, 2025, 6:04 PM",false,,,,,1,,,,1,def,v.,,,
96161821,"11,744,472",deter,prevent something from happening by instilling fear,The alarm system deters burglars from breaking in.,,en,en,"June 4, 2026, 9:36 PM","October 25, 2025, 2:36 AM",false,,,,,1,,,,1,def,v.,,,
96533080,"11,744,472",foliage,leaves of plants or trees,The garden was full of lush foliage.,,en,en,"June 4, 2026, 9:36 PM","October 30, 2025, 10:17 PM",false,,,,,1,,,,1,def,n.,,,
96223892,"11,744,472",perjury,crime of lying after swearing to tell the truth in court,He was charged with perjury after lying in court.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 5:29 AM",false,,,,,1,,,,1,def,n.,,,
96758597,"11,744,472",foster,promote the development of something,The program aims to foster creativity in students.,,en,en,"June 4, 2026, 9:36 PM","November 3, 2025, 7:40 PM",false,,,,,1,,,,1,def,v.,,,
92996587,"11,744,472",yet again,"one more time, especially after many times before",He forgot his keys yet again.,,en,en,"June 4, 2026, 9:36 PM","September 5, 2025, 8:46 PM",false,,,,,1,,,,2,def,adv.,,,
96901289,"11,744,472",impudence,boldness without respect,She was taken aback by his impudence during the negotiation.,,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 1:27 AM",false,,,,,1,,,,1,def,n.,,,
96344985,"11,744,472",endurance,ability to withstand difficult conditions over time,Her endurance during the marathon was impressive.,,en,en,"June 4, 2026, 9:36 PM","October 27, 2025, 10:23 PM",false,,,,,1,,,,1,def,n.,,,
96405945,"11,744,472",lest,used to prevent something undesirable from happening,He wore a raincoat lest he get wet.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 9:39 PM",false,,,,,1,,,,1,def,conj.,,,
96867928,"11,744,472",bizarre,"very strange or unusual, sometimes in an interesting way",That was a bizarre story to hear.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 2:34 PM",false,,,,,1,,,,1,def,adj.,,,
95979048,"11,744,472",ablaze,burning fiercely with visible flames,The house was ablaze after the lightning strike.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 3:40 AM",false,,,,,1,,,,1,def,adj.,,,
97200001,"11,744,472",pay homage,show respect or honor to someone or something,They gathered to pay homage to the fallen soldiers.,,en,en,"June 4, 2026, 9:36 PM","November 10, 2025, 10:40 PM",false,,,,,1,,,,2,def,v.,,,
96133832,"11,744,472",stash,put money or valuables in a secret place,He stashed his savings under the mattress.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 4:16 PM",false,,,,,1,,,,1,def,v.,,,
96398396,"11,744,472",circuit,complete path for electric current flow,"The circuit was broken, causing the lights to go out.",,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 7:30 PM",false,,,,,1,,,,1,def,n.,,,
96406393,"11,744,472",apprehension,fear or anxiety about future events,She felt apprehension before her final exams.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 9:47 PM",false,,,,,1,,,,1,def,n.,,,
96867972,"11,744,472",mistress,woman in an extramarital relationship,He spent weekends with his mistress in the city.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 2:35 PM",false,,,,,1,,,,1,def,n.,,,
95979229,"11,744,472",crank,rotate using a handle or lever,He cranked the old car engine to start it.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 3:52 AM",false,,,,,1,,,,1,def,v.,,,
97200014,"11,744,472",homage,special honor or respect shown publicly,They paid homage to the local hero at the ceremony.,,en,en,"June 4, 2026, 9:36 PM","November 10, 2025, 10:40 PM",false,,,,,1,,,,1,def,n.,,,
96149524,"11,744,472",dispatch,send off to a destination quickly,The company will dispatch the package today.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 9:20 PM",false,,,,,1,,,,1,def,v.,,,
96398435,"11,744,472",brace,prepare for something difficult or unpleasant,She braced herself for the bad news.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 7:31 PM",false,,,,,1,,,,1,def,v.,,,
96469133,"11,744,472",strewn,covered with scattered objects,The garden was strewn with fallen leaves.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 9:02 PM",false,,,,,1,,,,1,def,adj.,,,
96082304,"11,744,472",shove,put something somewhere quickly and carelessly,She shoved the papers into her bag.,,en,en,"June 4, 2026, 9:36 PM","October 23, 2025, 6:04 PM",false,,,,,1,,,,1,def,v.,,,
96161919,"11,744,472",abide,accept or act in accordance with,You must abide by the laws of the state.,,en,en,"June 4, 2026, 9:36 PM","October 25, 2025, 2:42 AM",false,,,,,1,,,,1,def,v.,,,
96533803,"11,744,472",contraption,strange or complicated device that seems hard to use,That contraption looks like it might fall apart.,,en,en,"June 4, 2026, 9:36 PM","October 30, 2025, 10:31 PM",false,,,,,1,,,,1,def,n.,,,
96256227,"11,744,472",alumnus,"former student of a school, college, or university",He is an alumnus of Harvard University.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 5:19 PM",false,,,,,1,,,,1,def,n.,,,
96758813,"11,744,472",vigilance,close and continuous attention to a task,Her vigilance ensured the project was error-free.,,en,en,"June 4, 2026, 9:36 PM","November 3, 2025, 7:44 PM",false,,,,,1,,,,1,def,n.,,,
96907183,"11,744,472",incitement,something that provokes or stirs action,The article served as an incitement for change.,,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 4:16 AM",false,,,,,1,,,,1,def,n.,,,
96345000,"11,744,472",guzzle,drink or eat quickly and greedily,He guzzled the soda in seconds.,,en,en,"June 4, 2026, 9:36 PM","October 27, 2025, 10:23 PM",false,,,,,1,,,,1,def,v.,,,
96767326,"11,744,472",harness,gather and organize resources for a purpose,The team harnessed their skills to complete the project.,,en,en,"June 4, 2026, 9:36 PM","November 3, 2025, 10:02 PM",false,,,,,1,,,,1,def,v.,,,
93663361,"11,744,472",zero in,narrow down a search successfully,They zeroed in on the missing document.,,en,en,"June 4, 2026, 9:36 PM","September 16, 2025, 6:07 PM",false,,,,,1,,,,2,def,v.,,,
96907271,"11,744,472",whiff,slight smell carried in the air,A whiff of lavender filled the room.,,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 4:21 AM",false,,,,,1,,,,1,def,n.,,,
96346248,"11,744,472",deception,dishonest act that makes someone believe something untrue,His deception fooled everyone at the party.,,en,en,"June 4, 2026, 9:36 PM","October 27, 2025, 10:49 PM",false,,,,,1,,,,1,def,n.,,,
96406961,"11,744,472",trinket,small ornament or item of jewelry usually inexpensive,She placed the shiny trinket on her desk.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 9:56 PM",false,,,,,1,,,,1,def,n.,,,
96868808,"11,744,472",slumber,natural state of rest during sleep,The baby was in a peaceful slumber.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 2:52 PM",false,,,,,1,,,,1,def,n.,,,
95979415,"11,744,472",rattle,make a rattling sound by shaking or striking,The wind rattled the windows all night.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 3:53 AM",false,,,,,1,,,,1,def,v.,,,
97205437,"11,744,472",stripped-down,reduced to the bare essentials,The stripped-down design emphasizes functionality.,,en,en,"June 4, 2026, 9:36 PM","November 11, 2025, 12:39 AM",false,,,,,1,,,,1,def,adj.,,,
96149775,"11,744,472",splendid,very good or satisfactory,The meal was simply splendid.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 9:25 PM",false,,,,,1,,,,1,def,adj.,,,
96400260,"11,744,472",copper,reddish-brown metal used in coins and wires,Copper is used in electrical wiring.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 7:58 PM",false,,,,,1,,,,1,def,n.,,,
96469150,"11,744,472",cupboard,furniture with shelves and doors for storage,She kept the dishes in the kitchen cupboard.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 9:03 PM",false,,,,,1,,,,1,def,n.,,,
96093041,"11,744,472",discard,throw away something no longer useful,She decided to discard her old shoes.,,en,en,"June 4, 2026, 9:36 PM","October 23, 2025, 9:22 PM",false,,,,,4,,,,1,def,v.,,,
96162013,"11,744,472",abomination,object that causes disgust and hatred,The sculpture was considered an abomination by many.,,en,en,"June 4, 2026, 9:36 PM","October 25, 2025, 2:48 AM",false,,,,,1,,,,1,def,n.,,,
96257989,"11,744,472",counterfeit,make an imitation of something with intent to deceive,He was caught trying to counterfeit famous paintings.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 5:48 PM",false,,,,,1,,,,1,def,v.,,,
96258936,"11,744,472",preliminary,happening before and preparing for something important,We had a preliminary meeting before the big presentation.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 6:05 PM",false,,,,,1,,,,1,def,adj.,,,
96777484,"11,744,472",livid,extremely angry or furious,He was livid when he found out the truth.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 1:35 AM",false,,,,,1,,,,1,def,adj.,,,
93663433,"11,744,472",zero in on,focus attention on something,She zeroed in on the main issue during the meeting.,,en,en,"June 4, 2026, 9:36 PM","September 16, 2025, 6:09 PM",false,,,,,1,,,,3,def,v.,,,
96346784,"11,744,472",congealed,thickened or solidified from a liquid state,The congealed blood was visible on the bandage.,,en,en,"June 4, 2026, 9:36 PM","October 27, 2025, 11:03 PM",false,,,,,1,,,,1,def,adj.,,,
96408970,"11,744,472",handkerchief,small square of cloth used for wiping the face or nose,She dabbed her eyes with a handkerchief during the movie.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 10:31 PM",false,,,,,1,,,,1,def,n.,,,
96868859,"11,744,472",amend,make changes to improve or correct,The committee decided to amend the proposal.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 2:53 PM",false,,,,,1,,,,1,def,v.,,,
95979417,"11,744,472",rattle,move noisily from one place to another,The train rattled along the tracks.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 3:53 AM",false,,,,,1,,,,1,def,v.,,,
97205455,"11,744,472",strip down,take apart a complex object,They had to strip down the engine for repairs.,,en,en,"June 4, 2026, 9:36 PM","November 11, 2025, 12:40 AM",false,,,,,1,,,,2,def,v.,,,
96150205,"11,744,472",devotion,strong love or loyalty for someone or something,Her devotion to her family is admirable.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 9:30 PM",false,,,,,1,,,,1,def,n.,,,
96400291,"11,744,472",wafer,small thin piece of semiconductor used in electronics,The engineer examined the silicon wafer under a microscope.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 7:59 PM",false,,,,,1,,,,1,def,n.,,,
96469231,"11,744,472",gouge,deep cut or groove carved into a hard surface,There was a deep gouge in the table.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 9:04 PM",false,,,,,1,,,,1,def,n.,,,
96163535,"11,744,472",desolate,empty and without people or life,The desolate town was eerily silent.,,en,en,"June 4, 2026, 9:36 PM","October 25, 2025, 4:12 AM",false,,,,,1,,,,1,def,adj.,,,
96579920,"11,744,472",reap,obtain a result or benefit,She reaped huge benefits from her investments.,,en,en,"June 4, 2026, 9:36 PM","October 31, 2025, 8:08 PM",false,,,,,1,,,,1,def,v.,,,
96163546,"11,744,472",pavement,hard surface for walking beside a road,She walked along the pavement to the store.,,en,en,"June 4, 2026, 9:36 PM","October 25, 2025, 4:13 AM",false,,,,,1,,,,1,def,n.,,,
96592278,"11,744,472",propel,cause to move in a particular direction,His ambition will propel him to the top of his career.,,en,en,"June 4, 2026, 9:36 PM","November 1, 2025, 2:48 AM",false,,,,,1,,,,1,def,v.,,,
96258978,"11,744,472",cranky,not in good working condition,The car's engine is cranky today.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 6:05 PM",false,,,,,1,,,,1,def,adj.,,,
96777642,"11,744,472",revelation,surprising fact that becomes known,Her revelation about the project was unexpected.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 1:43 AM",false,,,,,1,,,,1,def,n.,,,
96935291,"11,744,472",eclectic,selecting the best from various styles or ideas,"Her eclectic taste in music includes jazz, rock, and classical.",,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 3:43 PM",false,,,,,1,,,,1,def,adj.,,,
96412223,"11,744,472",stagger,walk or move unsteadily as if about to fall,He began to stagger after the long night.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 11:50 PM",false,,,,,1,,,,1,def,v.,,,
96869072,"11,744,472",impose,place a burden or duty on someone,The new tax imposes a heavy burden on citizens.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 2:57 PM",false,,,,,1,,,,1,def,v.,,,
95979481,"11,744,472",pursuit,effort to achieve something,His pursuit of excellence in his field is admirable.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 3:57 AM",false,,,,,1,,,,1,def,n.,,,
97448189,"11,744,472",ascertain,find out with certainty after effort or investigation,The police tried to ascertain the cause of the fire.,,en,en,"June 4, 2026, 9:36 PM","November 14, 2025, 10:48 PM",false,,,,,1,,,,1,def,v.,,,
96150674,"11,744,472",vault,jump over an obstacle using hands or feet,She vaulted the fence effortlessly.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 9:38 PM",false,,,,,1,,,,1,def,v.,,,
96469557,"11,744,472",deterioration,process of becoming worse in quality or condition,The building showed signs of deterioration over the years.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 9:09 PM",false,,,,,1,,,,1,def,n.,,,
96473668,"11,744,472",exodus,sudden departure of many people,There was an exodus from the city after the earthquake.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 10:13 PM",false,,,,,1,,,,1,def,n.,,,
96219727,"11,744,472",inkling,slight knowledge or suspicion,She had an inkling that something was wrong.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 2:01 AM",false,,,,,1,,,,1,def,n.,,,
96593368,"11,744,472",compel,force someone to do something,The court can compel a witness to testify.,,en,en,"June 4, 2026, 9:36 PM","November 1, 2025, 4:03 AM",false,,,,,1,,,,1,def,v.,,,
96259127,"11,744,472",contemplate,think about something deeply for a long time,She sat by the window to contemplate her future.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 6:07 PM",false,,,,,1,,,,1,def,v.,,,
96778680,"11,744,472",efficacious,producing the intended effect or result successfully,This medicine is highly efficacious against the infection.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 2:13 AM",false,,,,,1,,,,1,def,adj.,,,
93989459,"11,744,472",beat around the bush,avoid the main topic in conversation,Stop beating around the bush and answer the question.,,en,en,"June 4, 2026, 9:36 PM","September 22, 2025, 2:24 AM",false,,,,,1,,,,4,def,v.,,,
96947894,"11,744,472",missile,object thrown or fired as a weapon,The protester threw a missile at the police.,,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 7:14 PM",false,,,,,1,,,,1,def,n.,,,
96093129,"11,744,472",neat,clean and tidy in appearance or arrangement,Her room is always neat and organized.,,en,en,"June 4, 2026, 9:36 PM","October 23, 2025, 9:23 PM",false,,,,,4,,,,1,def,adj.,,,
96348786,"11,744,472",remedy,treatment or medicine for healing a disease,She took a natural remedy for her cold.,,en,en,"June 4, 2026, 9:36 PM","October 27, 2025, 11:58 PM",false,,,,,1,,,,1,def,n.,,,
96412747,"11,744,472",bunting,strips of material used for festive decoration,The streets were adorned with colorful bunting.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 12:06 AM",false,,,,,1,,,,1,def,n.,,,
95979553,"11,744,472",leach,remove soluble matter by percolating liquid,Farmers leach nutrients from the soil.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 4:00 AM",false,,,,,1,,,,1,def,v.,,,
97453922,"11,744,472",scoundrel,wicked person who does evil deliberately,The scoundrel plotted against his own family.,,en,en,"June 4, 2026, 9:36 PM","November 15, 2025, 2:29 AM",false,,,,,1,,,,1,def,n.,,,
96150991,"11,744,472",girth,the distance around something,The tree's girth was impressive.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 9:44 PM",false,,,,,1,,,,1,def,n.,,,
96415606,"11,744,472",vermin,small animals or insects that are pests,The barn was infested with vermin.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 2:20 AM",false,,,,,1,,,,1,def,n.,,,
95979637,"11,744,472",parley,formal discussion between opposing sides,The generals held a parley to discuss the ceasefire.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 4:04 AM",false,,,,,1,,,,1,def,n.,,,
97540015,"11,744,472",lead,"heavy, soft, bluish-grey metal element",Lead is used in car batteries.,,en,en,"June 4, 2026, 9:36 PM","November 16, 2025, 4:22 PM",false,,,,,1,,,,1,def,n.,,,
96153483,"11,744,472",eddy,circular movement of water causing a small whirlpool,Leaves floated in the gentle eddy near the river's edge.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 10:29 PM",false,,,,,1,,,,1,def,n.,,,
96475408,"11,744,472",stale,uninteresting from overuse,His jokes were stale and unfunny.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 10:44 PM",false,,,,,1,,,,1,def,adj.,,,
96219931,"11,744,472",spooked,feeling scared or worried by something,She felt spooked after hearing strange noises.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 2:11 AM",false,,,,,1,,,,1,def,adj.,,,
96593391,"11,744,472",presentiment,intuition about a future event,His presentiment told him not to go on the trip.,,en,en,"June 4, 2026, 9:36 PM","November 1, 2025, 4:05 AM",false,,,,,1,,,,1,def,n.,,,
96260523,"11,744,472",felon,person convicted of a serious crime,The felon was sentenced to ten years in prison.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 6:29 PM",false,,,,,1,,,,1,def,n.,,,
96400846,"11,744,472",serially,in a series or sequential manner,"The episodes were released serially, one each week.",,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 8:09 PM",false,,,,,1,,,,1,def,adv.,,,
96778908,"11,744,472",intercede,plead on someone else's behalf,She interceded for her friend in court.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 2:24 AM",false,,,,,1,,,,1,def,v.,,,
94018560,"11,744,472",come to terms,accept a difficult situation,She came to terms with her loss over time.,,en,en,"June 4, 2026, 9:36 PM","September 22, 2025, 3:11 PM",false,,,,,1,,,,3,def,v.,,,
96948041,"11,744,472",crumble,fall apart or disintegrate,The old castle walls began to crumble.,,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 7:17 PM",false,,,,,1,,,,1,def,v.,,,
96101283,"11,744,472",persecute,subject someone to hostility and ill-treatment,The minority group was persecuted for their beliefs.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 12:13 AM",false,,,,,1,,,,1,def,v.,,,
96348888,"11,744,472",clause,section in a legal document outlining specific conditions,The contract included a confidentiality clause.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 12:01 AM",false,,,,,1,,,,1,def,n.,,,
96403938,"11,744,472",deplete,reduce the amount of something significantly,The drought depleted the water supply.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 9:05 PM",false,,,,,1,,,,1,def,v.,,,
96831575,"11,744,472",delirium,wild excitement or ecstasy,The crowd was in delirium after the victory.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 9:50 PM",false,,,,,1,,,,1,def,n.,,,
96954973,"11,744,472",insult,rude remark or action causing offense,His comment was an insult to everyone in the room.,,en,en,"June 4, 2026, 9:36 PM","November 6, 2025, 9:18 PM",false,,,,,1,,,,1,def,n.,,,
96104869,"11,744,472",get by,manage to survive with minimal resources,"Despite the low salary, they manage to get by.",,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 2:24 AM",false,,,,,1,,,,2,def,v.,,,
96351287,"11,744,472",sow,scatter seeds on the ground for growth,Farmers sow seeds in spring.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 1:08 AM",false,,,,,1,,,,1,def,v.,,,
96415632,"11,744,472",concede,admit something is true after first denying,He finally conceded that he was wrong.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 2:22 AM",false,,,,,1,,,,1,def,v.,,,
95979677,"11,744,472",haggle,argue to get a better price or deal,She loves to haggle at the flea market.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 4:06 AM",false,,,,,1,,,,1,def,v.,,,
97571269,"11,744,472",emancipation,process of being freed from restraint or influence,Her journey towards personal emancipation was truly inspiring.,,en,en,"June 4, 2026, 9:36 PM","November 17, 2025, 1:42 AM",false,,,,,1,,,,1,def,n.,,,
96153705,"11,744,472",incapacitate,make someone unable to perform an action,The injury incapacitated him for several months.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 10:33 PM",false,,,,,1,,,,1,def,v.,,,
96479028,"11,744,472",formidable,causing fear or respect due to size or strength,The formidable lion roared loudly.,,en,en,"June 4, 2026, 9:36 PM","October 30, 2025, 12:25 AM",false,,,,,1,,,,1,def,adj.,,,
96219943,"11,744,472",elicit,draw out a response or reaction from someone,Her remarks elicited a heated debate.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 2:12 AM",false,,,,,1,,,,1,def,v.,,,
96620817,"11,744,472",finesse,elegance and grace in style or performance,The dancer's performance was full of finesse.,,en,en,"June 4, 2026, 9:36 PM","November 1, 2025, 4:37 PM",false,,,,,1,,,,1,def,n.,,,
96869191,"11,744,472",accede,become a member of an organization,Several countries are hoping to accede to the EU in the coming years.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 2:59 PM",false,,,,,1,,,,1,def,v.,,,
96260953,"11,744,472",vague,not clearly expressed or understood,Her instructions were vague and confusing.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 6:36 PM",false,,,,,1,,,,1,def,adj.,,,
96869617,"11,744,472",mend,improve a situation or condition,They are trying to mend their relationship.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 3:07 PM",false,,,,,1,,,,1,def,v.,,,
96262002,"11,744,472",espionage,"secretly gathering information, often using spies",Espionage is common between rival countries.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 6:52 PM",false,,,,,1,,,,1,def,n.,,,
96404497,"11,744,472",fringe,marginal or peripheral part of something,He lived on the fringe of the city.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 9:13 PM",false,,,,,1,,,,1,def,n.,,,
96831600,"11,744,472",ambiguous,difficult to understand or classify,Her ambiguous response left everyone confused.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 9:51 PM",false,,,,,1,,,,1,def,adj.,,,
94795200,"11,744,472",get over,fully appreciate or understand something,I can't get over how beautiful this place is.,,en,en,"June 4, 2026, 9:36 PM","October 3, 2025, 4:42 PM",false,,,,,1,,,,2,def,v.,,,
97025093,"11,744,472",vanity,excessive pride in one's appearance or achievements,Her vanity was apparent in her constant glancing at the mirror.,,en,en,"June 4, 2026, 9:36 PM","November 8, 2025, 12:35 AM",false,,,,,1,,,,1,def,n.,,,
96106070,"11,744,472",mediocrity,state of being average or unremarkable,The film's mediocrity disappointed the critics.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 3:23 AM",false,,,,,1,,,,1,def,n.,,,
96351456,"11,744,472",gauge,instrument for measuring dimensions or capacity,The fuel gauge showed the tank was full.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 1:14 AM",false,,,,,1,,,,1,def,n.,,,
96415662,"11,744,472",tumbler,drinking glass with no handle or stem,She poured some juice into a tumbler and drank it quickly.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 2:23 AM",false,,,,,1,,,,1,def,n.,,,
95979938,"11,744,472",forsake,give up something valued or enjoyed,She decided to forsake her career for motherhood.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 4:21 AM",false,,,,,1,,,,1,def,v.,,,
96153888,"11,744,472",hush-hush,kept secret and not to be discussed openly,"The project is hush-hush, so don't tell anyone.",,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 10:37 PM",false,,,,,1,,,,1,def,adj.,,,
96482258,"11,744,472",breach,gap or break in something where it should be continuous,The storm caused a breach in the sea wall.,,en,en,"June 4, 2026, 9:36 PM","October 30, 2025, 3:30 AM",false,,,,,1,,,,1,def,n.,,,
96219985,"11,744,472",conceivable,capable of being imagined or believed,It is conceivable that we will win the game.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 2:15 AM",false,,,,,1,,,,1,def,adj.,,,
96628260,"11,744,472",shudder,"shake suddenly from fear, cold, horror or disgust",She began to shudder when she saw the spider.,,en,en,"June 4, 2026, 9:36 PM","November 1, 2025, 7:15 PM",false,,,,,1,,,,1,def,v.,,,
96220230,"11,744,472",wrath,intense anger or rage,His wrath was terrifying to witness.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 2:34 AM",false,,,,,1,,,,1,def,n.,,,
96644341,"11,744,472",subtle,barely noticeable or indistinct,There was a subtle hint of vanilla in the cake.,,en,en,"June 4, 2026, 9:36 PM","November 2, 2025, 2:44 AM",false,,,,,1,,,,1,def,adj.,,,
96869620,"11,744,472",mend,repair something that is broken or damaged,She learned to mend her clothes by herself.,,en,en,"June 4, 2026, 9:36 PM","November 5, 2025, 3:07 PM",false,,,,,1,,,,1,def,v.,,,
96273336,"11,744,472",sufficient,enough to meet a need or purpose,The food was sufficient for everyone.,,en,en,"June 4, 2026, 9:36 PM","October 26, 2025, 10:05 PM",false,,,,,1,,,,1,def,adj.,,,
96404506,"11,744,472",squalid,extremely dirty and unpleasant due to neglect,The squalid room was filled with trash.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 9:13 PM",false,,,,,1,,,,1,def,adj.,,,
96831901,"11,744,472",upheaval,violent or sudden change or disruption,The political upheaval disrupted the nation's economy.,,en,en,"June 4, 2026, 9:36 PM","November 4, 2025, 9:57 PM",false,,,,,1,,,,1,def,n.,,,
95013175,"11,744,472",qualm,prick of conscience or moral scruple,He had no qualms about his decision.,,en,en,"June 4, 2026, 9:36 PM","October 7, 2025, 2:56 AM",false,,,,,1,,,,1,def,n.,,,
97142349,"11,744,472",stain,color something by applying a dye,She stained the fabric with natural dyes.,,en,en,"June 4, 2026, 9:36 PM","November 10, 2025, 1:35 AM",false,,,,,1,,,,1,def,v.,,,
96106362,"11,744,472",endorsement,approval or support for someone or something,The candidate received an endorsement from the mayor.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 3:38 AM",false,,,,,1,,,,1,def,n.,,,
96378982,"11,744,472",overt,open and not concealed or secret,His overt actions were noticed by everyone.,,en,en,"June 4, 2026, 9:36 PM","October 28, 2025, 2:00 PM",false,,,,,1,,,,1,def,adj.,,,
96417437,"11,744,472",stunt,act designed to attract public attention,The motorcycle jump was a dangerous stunt for the movie.,,en,en,"June 4, 2026, 9:36 PM","October 29, 2025, 3:56 AM",false,,,,,1,,,,1,def,n.,,,
95979939,"11,744,472",forsake,abandon someone who needs you,He promised never to forsake his family.,,en,en,"June 4, 2026, 9:36 PM","October 22, 2025, 4:21 AM",false,,,,,1,,,,1,def,v.,,,
96153932,"11,744,472",maelstrom,chaotic or turbulent situation,The city was a maelstrom of activity.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 10:38 PM",false,,,,,1,,,,1,def,n.,,,
96154227,"11,744,472",credibility,quality of being believed or trusted,The scientist's credibility was never in doubt.,,en,en,"June 4, 2026, 9:36 PM","October 24, 2025, 10:42 PM",false,,,,,1,,,,1,def,n.,,,
96503882,"11,744,472",abyssal,related to ocean depths below 2000 meters,The abyssal creatures are adapted to dark environments.,,en,en,"June 4, 2026, 9:36 PM","October 30, 2025, 1:36 PM",false,,,,,1,,,,1,def,adj.,,,
